URL,Nov列最后一个数字
https://www.tradingview.com/chart/EjQUtmuc/,0.33
https://www.tradingview.com/chart/Dvd9vGt5/,3.23
https://www.tradingview.com/chart/A4cEqLik/,-2.95
https://www.tradingview.com/chart/uNPZ2spK/,-0.17
https://www.tradingview.com/chart/Kj5ZGHdw/,-2.42
https://www.tradingview.com/chart/2vyQajE2/,0.6
https://www.tradingview.com/chart/WiKMqTet/,7.47
https://www.tradingview.com/chart/Q9MeKvVC/,2
https://www.tradingview.com/chart/ygHXwF84/,0.9
https://www.tradingview.com/chart/CTC73Olh/,-0.55
https://www.tradingview.com/chart/elrmSYee/,-0.55
https://www.tradingview.com/chart/285fzTJB/,-1.15
https://www.tradingview.com/chart/xxzEyDfw/,-2.55
https://www.tradingview.com/chart/lcNgD4pS/,-0.58
https://www.tradingview.com/chart/iSq6XFCC/,0.06
https://www.tradingview.com/chart/rVeFMiU4/,0.88
https://www.tradingview.com/chart/YxD2lfI2/,2.82
https://www.tradingview.com/chart/dPRT8fSK/,1.03
https://www.tradingview.com/chart/oDhEAePi/,4.82
https://www.tradingview.com/chart/2Jtw033J/,0.04
https://www.tradingview.com/chart/Yh9TaqZE/,0.92
https://www.tradingview.com/chart/p2Bvj1LX/,0.79
https://www.tradingview.com/chart/9cT1VRvW/,-0.88
https://www.tradingview.com/chart/tJDJVri5/,0.5
https://www.tradingview.com/chart/mnGjsgoY/,-0.09
https://www.tradingview.com/chart/cMDH182g/,1.21
https://www.tradingview.com/chart/7HMGQSsJ/,-3.08
https://www.tradingview.com/chart/Xt8Libni/,0.87
https://www.tradingview.com/chart/pLdFOLtD/,1.92
https://www.tradingview.com/chart/6cptM378/,0
https://www.tradingview.com/chart/IMFhBZl2/,-2.34
https://www.tradingview.com/chart/P8n5vn8V/,1.26
https://www.tradingview.com/chart/WLiNME8l/,3.77
https://www.tradingview.com/chart/ovTE0wz5/,1.46
https://www.tradingview.com/chart/ZATMqHj7/,-2.94
https://www.tradingview.com/chart/vmVdEFrf/,-5.83
https://www.tradingview.com/chart/93mHmuGN/,-0.5
https://www.tradingview.com/chart/ng0akTZy/,2.00
https://www.tradingview.com/chart/9HGhrAiL/,0.02
https://www.tradingview.com/chart/CsNPJ40O/,-1.21
https://www.tradingview.com/chart/NhxlUtzn/,-1.46
https://www.tradingview.com/chart/dIwxPof0/,-2.75
https://www.tradingview.com/chart/gi8LCskw/,0.36
https://www.tradingview.com/chart/2AUW8k25/,3.75
https://www.tradingview.com/chart/Yf0e8AQY/,2.87
https://www.tradingview.com/chart/nM5aAdbF/,-0.12
https://www.tradingview.com/chart/sLLqQaVx/,2
https://www.tradingview.com/chart/OzqPeVXC/,2.06
https://www.tradingview.com/chart/HbR0OQPO/,0.5
https://www.tradingview.com/chart/177cG60E/,-1.59
https://www.tradingview.com/chart/JaGkQQA4/,-0.34
https://www.tradingview.com/chart/doHBT7TM/,6.54
https://www.tradingview.com/chart/QHfx1ted/,2.42
https://www.tradingview.com/chart/8YLqhFBu/,1.4
https://www.tradingview.com/chart/90qmMAaJ/,-15.747
